antibody_pair,SNR_bNfL_Uman,SNR_rHuNfL_PerkinElmer
268014 - NfL21,17.4,3.1
268014 - NfL23,23.8,3.8
985917 - 268014,5.7,12.4
NfL21 - 268014,10.6,4.9
NfL23 - 268014,9.0,4.8
OTI3G2 - NfL21,6.7,1.5
OTI3G2 - NfL23,8.5,1.9
OTI3G2 - OTI2F5,7.4,1.7
OTI2F5 - 268014,6.3,3.2
5C12G4 - 268014,16.1,12.3
5C12G4 - NfL21,10.1,2.8
5C12G4 - NfL23,16.5,3.5
DA2 - 268014,18.9,15.1
DA2 - NfL21,7.3,2.6
DA2 - NfL23,11.2,3.6
NF36 - NF71,6.6,1.3
NF36 - NF31,6.7,2.2
NF79 - NF36,10.9,1.6
NF79 - NF71,22.0,2.0
NF31 - NF36,10.9,1.6
NF31 - NF71,17.9,2.1
