pg/ml,abs,calibrator,test,plate
10000,3.148,IBL-Uman,1,1
5000,2.745,IBL-Uman,1,1
2500,1.905,IBL-Uman,1,1
1000,0.936,IBL-Uman,1,1
500,0.516,IBL-Uman,1,1
100,0.114,IBL-Uman,1,1
0,0.013,IBL-Uman,1,1
10000,0.704,RnD,1,1
5000,0.342,RnD,1,1
2500,0.169,RnD,1,1
1000,0.078,RnD,1,1
500,0.045,RnD,1,1
100,0.020,RnD,1,1
0,0.014,RnD,1,1
10000,1.557,PK,1,1
5000,0.933,PK,1,1
2500,0.497,PK,1,1
1000,0.219,PK,1,1
500,0.122,PK,1,1
100,0.036,PK,1,1
0,0.013,PK,1,1
10000,0.081,Origene,1,1
5000,0.046,Origene,1,1
2500,0.030,Origene,1,1
1000,0.019,Origene,1,1
500,0.015,Origene,1,1
100,0.013,Origene,1,1
0,0.013,Origene,1,1
10000,3.302,IBL-Uman,2,2
5000,2.572,IBL-Uman,2,2
2500,1.681,IBL-Uman,2,2
1000,0.828,IBL-Uman,2,2
500,0.442,IBL-Uman,2,2
100,0.104,IBL-Uman,2,2
0,0.011,IBL-Uman,2,2
10000,2.493,Progen,1,2
5000,1.644,Progen,1,2
2500,0.872,Progen,1,2
1000,0.393,Progen,1,2
500,0.214,Progen,1,2
100,0.049,Progen,1,2
0,0.011,Progen,1,2
10000,3.116,Abcam,1,2
5000,2.312,Abcam,1,2
2500,1.409,Abcam,1,2
1000,0.655,Abcam,1,2
500,0.346,Abcam,1,2
100,0.082,Abcam,1,2
0,0.011,Abcam,1,2
5000,3.799,IBL-Uman,3,3
2500,3.321,IBL-Uman,3,3
1250,2.421,IBL-Uman,3,3
500,1.259,IBL-Uman,3,3
250,0.699,IBL-Uman,3,3
125,0.376,IBL-Uman,3,3
50,0.172,IBL-Uman,3,3
0,0.034,IBL-Uman,3,3
5000,2.850,Progen,2,3
2500,1.942,Progen,2,3
1250,1.164,Progen,2,3
500,0.533,Progen,2,3
250,0.290,Progen,2,3
125,0.163,Progen,2,3
50,0.083,Progen,2,3
0,0.033,Progen,2,3
5000,2.907,MyBio,1,3
2500,1.998,MyBio,1,3
1250,1.224,MyBio,1,3
500,0.558,MyBio,1,3
250,0.306,MyBio,1,3
125,0.170,MyBio,1,3
50,0.086,MyBio,1,3
0,0.031,MyBio,1,3
5000,3.720,Ella,1,3
2500,3.184,Ella,1,3
1250,2.298,Ella,1,3
500,1.146,Ella,1,3
250,0.655,Ella,1,3
125,0.352,Ella,1,3
50,0.165,Ella,1,3
0,0.032,Ella,1,3
5000,3.056,Encor,1,3
2500,2.176,Encor,1,3
1250,1.323,Encor,1,3
500,0.606,Encor,1,3
250,0.329,Encor,1,3
125,0.182,Encor,1,3
50,0.094,Encor,1,3
0,0.032,Encor,1,3
5000,0.796,Abnova,1,3
2500,0.435,Abnova,1,3
1250,0.242,Abnova,1,3
500,0.113,Abnova,1,3
250,0.073,Abnova,1,3
125,0.052,Abnova,1,3
50,0.038,Abnova,1,3
0,0.030,Abnova,1,3
