,pg/ml,abs,calibrator,test,plate,log10(pg/ml),abs_cf,abs_norm
1,5000,2.745,Uman,1,1,3.6989700043360187,1.0,2.745
2,2500,1.905,Uman,1,1,3.3979400086720375,1.0,1.905
3,1000,0.936,Uman,1,1,3.0,1.0,0.936
4,500,0.516,Uman,1,1,2.6989700043360187,1.0,0.516
5,100,0.114,Uman,1,1,2.0,1.0,0.114
8,5000,0.342,R&D,1,1,3.6989700043360187,1.0,0.342
9,2500,0.169,R&D,1,1,3.3979400086720375,1.0,0.169
10,1000,0.078,R&D,1,1,3.0,1.0,0.078
11,500,0.045,R&D,1,1,2.6989700043360187,1.0,0.045
12,100,0.02,R&D,1,1,2.0,1.0,0.02
15,5000,0.933,PerkinElmer,1,1,3.6989700043360187,1.0,0.933
16,2500,0.497,PerkinElmer,1,1,3.3979400086720375,1.0,0.497
17,1000,0.219,PerkinElmer,1,1,3.0,1.0,0.219
18,500,0.122,PerkinElmer,1,1,2.6989700043360187,1.0,0.122
19,100,0.036,PerkinElmer,1,1,2.0,1.0,0.036
22,5000,0.046,Origene,1,1,3.6989700043360187,1.0,0.046
23,2500,0.03,Origene,1,1,3.3979400086720375,1.0,0.03
24,1000,0.019,Origene,1,1,3.0,1.0,0.019
25,500,0.015,Origene,1,1,2.6989700043360187,1.0,0.015
26,100,0.013,Origene,1,1,2.0,1.0,0.013
43,5000,2.312,Abcam,1,2,3.6989700043360187,1.0544137740150232,2.4378046455227333
44,2500,1.409,Abcam,1,2,3.3979400086720375,1.1408227499578771,1.607419254690649
45,1000,0.655,Abcam,1,2,3.0,1.1514260519818613,0.7541840640481192
46,500,0.346,Abcam,1,2,2.6989700043360187,1.1024250054230786,0.38143905187638516
47,100,0.082,Abcam,1,2,2.0,1.2126253843298729,0.09943528151504959
57,5000,2.85,Progen,2,3,3.6989700043360187,0.704481047553318,2.0077709855269563
58,2500,1.942,Progen,2,3,3.3979400086720375,0.5927174422960725,1.1510572729389728
59,1250,1.164,Progen,2,3,3.0969100130080562,0.47274699762182404,0.5502775052318032
60,500,0.533,Progen,2,3,2.6989700043360187,0.3765568467010692,0.2007047992916699
61,250,0.29,Progen,2,3,2.3979400086720375,0.3687232323827728,0.10692973739100411
62,125,0.163,Progen,2,3,2.0969100130080562,0.41602202207263156,0.06781158959783895
63,50,0.083,Progen,2,3,1.6989700043360187,0.539550565174252,0.04478269690946292
65,5000,2.907,MyBio,1,3,3.6989700043360187,0.704481047553318,2.0479264052374955
66,2500,1.998,MyBio,1,3,3.3979400086720375,0.5927174422960725,1.1842494497075529
67,1250,1.224,MyBio,1,3,3.0969100130080562,0.47274699762182404,0.5786423250891126
68,500,0.558,MyBio,1,3,2.6989700043360187,0.3765568467010692,0.21011872045919663
69,250,0.306,MyBio,1,3,2.3979400086720375,0.3687232323827728,0.11282930910912849
70,125,0.17,MyBio,1,3,2.0969100130080562,0.41602202207263156,0.07072374375234737
71,50,0.086,MyBio,1,3,1.6989700043360187,0.539550565174252,0.046401348604985675
73,5000,3.72,Ella,1,3,3.6989700043360187,0.704481047553318,2.620669496898343
74,2500,3.184,Ella,1,3,3.3979400086720375,0.5927174422960725,1.887212336270695
75,1250,2.298,Ella,1,3,3.0969100130080562,0.47274699762182404,1.0863726005349517
76,500,1.146,Ella,1,3,2.6989700043360187,0.3765568467010692,0.43153414631942527
77,250,0.655,Ella,1,3,2.3979400086720375,0.3687232323827728,0.2415137172107162
78,125,0.352,Ella,1,3,2.0969100130080562,0.41602202207263156,0.1464397517695663
79,50,0.165,Ella,1,3,1.6989700043360187,0.539550565174252,0.0890258432537516
81,5000,3.056,Encor,1,3,3.6989700043360187,0.704481047553318,2.15289408132294
82,2500,2.176,Encor,1,3,3.3979400086720375,0.5927174422960725,1.2897531544362537
83,1250,1.323,Encor,1,3,3.0969100130080562,0.47274699762182404,0.6254442778536732
84,500,0.606,Encor,1,3,2.6989700043360187,0.3765568467010692,0.22819344910084793
85,250,0.329,Encor,1,3,2.3979400086720375,0.3687232323827728,0.12130994345393227
86,125,0.182,Encor,1,3,2.0969100130080562,0.41602202207263156,0.07571600801721894
87,50,0.094,Encor,1,3,1.6989700043360187,0.539550565174252,0.05071775312637969
89,5000,0.796,Abnova,1,3,3.6989700043360187,0.704481047553318,0.5607669138524412
90,2500,0.435,Abnova,1,3,3.3979400086720375,0.5927174422960725,0.25783208739879154
91,1250,0.242,Abnova,1,3,3.0969100130080562,0.47274699762182404,0.11440477342448141
92,500,0.113,Abnova,1,3,2.6989700043360187,0.3765568467010692,0.04255092367722082
93,250,0.073,Abnova,1,3,2.3979400086720375,0.3687232323827728,0.026916795963942416
94,125,0.052,Abnova,1,3,2.0969100130080562,0.41602202207263156,0.02163314514777684
95,50,0.038,Abnova,1,3,1.6989700043360187,0.539550565174252,0.020502921476621576
