experiment_id,,e21,e23,e24,e25,e26,e27,vmraf E,vmraf f,220602 Sera Plasma SLC vs 60
CAP,,36,36,36,36,36,36,5C12G4 ,5C12G4 ,5C12G4 
DET,,71-79,71-79,71-79,71-79,71-79,71-79,21 &23,21 &23,21 &23
std pg/ml,log10(std),,,,,,,,,
2000,3.301,20.121,18.547,18.5575,18.949,18.773,19.078,20.3605,20.029,20.848
500,2.699,22.496,20.7495,20.7995,20.921,20.7265,21.125,22.546,22.027,22.703
125,2.097,24.387,22.825,22.7985,22.7635,22.731,23.0855,24.6995,24.348,24.6065
31.25,1.495,26.649,25.1435,24.839,25.067,25.0075,25.2205,26.7635,26.401,26.7015
7.8125,0.893,28.656,26.701,26.697,27.1295,26.8765,27.2965,28.686,28.4225,28.638
1.953125,0.291,30.6075,28.898,28.7195,29.3445,29.051,29.3495,31.393,30.885,30.4325
0,,34.981,34.162,34.442,34.018,33.981,34.8865,35.3695,34.587,35.843
ct(hi) - ct(lo),,10.4865,10.351,10.162,10.3955,10.278,10.2715,11.0325,10.856,9.5845
R-square,,0.9991,0.998,0.9993,0.999,0.9995,0.9999,0.9981,0.9992,0.9996
mean R-Square,,,,,,,0.999,,,0.999
mean Ct delta,,,,,,,10.32,,,10.49
gradient,,-3.4726,-3.4134,-3.3477,-3.4599,-3.4224,-3.4172,-3.5899,-3.5839,-3.2186
average gradient,,,,,,,-3.4222,,,-3.464133333
average efficiency,,,,,,,96%,,,94%
