well,position,target,sample_id,tube_id,rep_id,dilution,usr_std,usr_raw_ng/L,usr_mean_ng/L,Chemistry,PassiveReference,QuantificationCycleMethod,InstrumentType,BlockType,ct,tm,threshold,AOC conc
37,D1,NfL,std1[0]_progen#62008,,19,1,1,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),34.489,80.9,0.1,25
38,D2,NfL,std1[0]_progen#62008,,19,1,1,0,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),35.379,80.9,0.1,25
47,D11,NfL,std1[0]_progen#62008,,24,1,3,0.46,0.46,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),37.458,80.7,0.1,25
48,D12,NfL,std1[0]_progen#62008,,24,1,3,,0.46,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),,60.3,0.1,25
85,H1,NfL,std2[0]_progen#62008,,43,1,2,,,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),,61.3,0.1,25
86,H2,NfL,std2[0]_progen#62008,,43,1,2,,,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),,93.8,0.1,25
87,H3,NfL,std3[0]_progen#62008,,44,1,3,4.06,2.68,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),34.874,80.9,0.1,25
88,H4,NfL,std3[0]_progen#62008,,44,1,3,1.29,2.68,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),36.231,80.7,0.1,25
89,H5,NfL,std4[0]_progen#62008,,45,1,4,4.51,4.43,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),31.784,80.7,0.1,100
90,H6,NfL,std4[0]_progen#62008,,45,1,4,4.35,4.43,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),31.815,80.9,0.1,100
93,H9,NfL,std1[0]_progen#62008,,47,1,3,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),42.302,73.5,0.1,25
94,H10,NfL,std1[0]_progen#62008,,47,1,3,,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),,60.3,0.1,25
95,H11,NfL,std1[0]_progen#62008,,48,1,3,3.23,4.04,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),35.145,80.7,0.1,25
96,H12,NfL,std1[0]_progen#62008,,48,1,3,4.85,4.04,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),34.664,80.7,0.1,25
37,D1,NfL,std1[0]_progen#62008,,19,1,1,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),34.144,81,0.1,25
38,D2,NfL,std1[0]_progen#62008,,19,1,1,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),33.516,81,0.1,25
39,D3,NfL,std2[0]_progen#62008,,20,1,2,,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),,60.3,0.1,25
40,D4,NfL,std2[0]_progen#62008,,20,1,2,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),35.218,81,0.1,25
41,D5,NfL,std3[0]_progen#62008,,21,1,3,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),33.512,81,0.1,50
42,D6,NfL,std3[0]_progen#62008,,21,1,3,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),31.695,81,0.1,50
43,D7,NfL,std4[0]_progen#62008,,22,1,4,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),33.62,81,0.1,50
44,D8,NfL,std4[0]_progen#62008,,22,1,4,0,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),34.924,81,0.1,50
45,D9,NfL,std5[0]_progen#62008,,23,1,5,0.02,0.02,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),31.159,81,0.1,100
46,D10,NfL,std5[0]_progen#62008,,23,1,5,0.03,0.02,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),30.91,81,0.1,100
47,D11,NfL,std6[0]_progen#62008,,24,1,6,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),32.353,81,0.1,100
48,D12,NfL,std6[0]_progen#62008,,24,1,6,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),32.634,81,0.1,100
85,H1,NfL,std1[0]_progen#62008,,43,1,1,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),32.769,80.7,0.1,50
86,H2,NfL,std1[0]_progen#62008,,43,1,1,0,0,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),33.828,80.7,0.1,50
87,H3,NfL,std2[0]_mybio#MBS537339,,44,1,2,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),32.322,80.7,0.1,50
88,H4,NfL,std2[0]_mybio#MBS537339,,44,1,2,0,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),32.838,80.7,0.1,50
89,H5,NfL,std3[0]_encorbio#PROT-R-NF-L-25UG,,45,1,3,0.02,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),32.863,81,0.1,50
90,H6,NfL,std3[0]_encorbio#PROT-R-NF-L-25UG,,45,1,3,0.01,0.01,SYBR_GREEN,ROX,Ct,QuantStudio 12K Flex,Fast 96-Well Block (0.1mL),33.457,81,0.1,50
