SLR; log10(x); exc_std0; ct; grad,sample_id,SLR; log10(x); exc_std0; ct; mean_ng/L,dilution,specimen_type,collection_type,ct_mean_y,inv_dil,log10_inv_dil,m,c,efficiency,R2,sample_type
-3.368262416,NFL009E,24.908,5,plasma,EDTA plasma,22.792,20,1.301029996,-3.492592151,27.35446715,0.933393663,0.999749388,Plasma
-3.368262416,NFL009E,22.5559,20,plasma,EDTA plasma,24.965,5,0.698970004,-3.492592151,27.35446715,0.933393663,0.999749388,Plasma
-3.368262416,NFL009E,22.9431,80,plasma,EDTA plasma,26.968,1.25,0.096910013,-3.492592151,27.35446715,0.933393663,0.999749388,Plasma
-3.368262416,NFL009E,20.8833,320,plasma,EDTA plasma,29.1335,0.3125,-0.505149978,-3.492592151,27.35446715,0.933393663,0.999749388,Plasma
-3.368262416,NFL012LH,13.2167,5,plasma,Li Hep Blood,23.719,20,1.301029996,-3.374165414,28.07459041,0.978652754,0.999636718,Plasma
-3.368262416,NFL012LH,14.1605,20,plasma,Li Hep Blood,25.646,5,0.698970004,-3.374165414,28.07459041,0.978652754,0.999636718,Plasma
-3.368262416,NFL012LH,13.1248,80,plasma,Li Hep Blood,27.785,1.25,0.096910013,-3.374165414,28.07459041,0.978652754,0.999636718,Plasma
-3.368262416,NFL012LH,13.4463,320,plasma,Li Hep Blood,29.7775,0.3125,-0.505149978,-3.374165414,28.07459041,0.978652754,0.999636718,Plasma
-3.300750803,NFL004LH,4.2147,4,plasma,Li Hep Blood,24.6455,25,1.397940009,-2.944374493,28.59888854,1.185902114,0.994205858,Plasma
-3.300750803,NFL004LH,6.594,18,plasma,Li Hep Blood,26.16,5.555555556,0.744727495,-2.944374493,28.59888854,1.185902114,0.994205858,Plasma
-3.300750803,NFL004LH,6.4854,71,plasma,Li Hep Blood,28.151,1.408450704,0.148741651,-2.944374493,28.59888854,1.185902114,0.994205858,Plasma
-3.300750803,NFL004LH,7.014,286,plasma,Li Hep Blood,30.036,0.34965035,-0.456366033,-2.944374493,28.59888854,1.185902114,0.994205858,Plasma
-3.37358642,NFL005LH,196.3856,10,plasma,Li Hep Blood,21.3635,10,1,-3.43906031,24.82361031,0.953336677,0.999598516,Plasma
-3.37358642,NFL005LH,178.981,50,plasma,Li Hep Blood,23.8575,2,0.301029996,-3.43906031,24.82361031,0.953336677,0.999598516,Plasma
-3.37358642,NFL005LH,191.4322,250,plasma,Li Hep Blood,26.117,0.4,-0.397940009,-3.43906031,24.82361031,0.953336677,0.999598516,Plasma
-3.37358642,NFL005LH,173.0435,1250,plasma,Li Hep Blood,28.623,0.08,-1.096910013,-3.43906031,24.82361031,0.953336677,0.999598516,Plasma
-3.367928637,CSF RMH 03/24,1373.9032,5,unavailable,unavailable,17.156,20,1.301029996,-3.357622944,21.49599102,0.985316488,0.999845921,CSF
-3.367928637,CSF RMH 03/24,1398.7127,6,unavailable,unavailable,17.3965,16.66666667,1.22184875,-3.357622944,21.49599102,0.985316488,0.999845921,CSF
-3.367928637,CSF RMH 03/24,1436.7005,24,unavailable,unavailable,19.385,4.166666667,0.619788758,-3.357622944,21.49599102,0.985316488,0.999845921,CSF
-3.367928637,CSF RMH 03/24,1450.7114,96,unavailable,unavailable,21.3985,1.041666667,0.017728767,-3.357622944,21.49599102,0.985316488,0.999845921,CSF
-3.367928637,CSF RMH 03/24,1384.5226,384,unavailable,unavailable,23.4945,0.260416667,-0.584331224,-3.357622944,21.49599102,0.985316488,0.999845921,CSF
-3.357542404,NFL-QC-018,9.73175,5,plasma,Li-Hep,23.827,20,1.301029996,-3.847068225,28.9837688,0.819441945,0.994384791,Plasma
-3.357542404,NFL-QC-018,5.3751,25,plasma,Li-Hep,27.0185,4,0.602059991,-3.847068225,28.9837688,0.819441945,0.994384791,Plasma
-3.357542404,NFL-QC-018,4.6889,125,plasma,Li-Hep,29.5645,0.8,-0.096910013,-3.847068225,28.9837688,0.819441945,0.994384791,Plasma
-3.357542404,NFL-QC-018,5.0957,625,plasma,Li-Hep,31.79,0.16,-0.795880017,-3.847068225,28.9837688,0.819441945,0.994384791,Plasma
-3.357542404,NFL-QC-019,53.6936,5,plasma,Li-Hep,21.32725,20,1.301029996,-3.646163366,26.14929732,0.88044609,0.998183632,Plasma
-3.357542404,NFL-QC-019,37.0002,25,plasma,Li-Hep,24.2055,4,0.602059991,-3.646163366,26.14929732,0.88044609,0.998183632,Plasma
