SLR; log10(x); exc_std0; ct; grad,SLR; log10(x); exc_std0; ct; PCReff,ct12,ct32,ct22(lower),ct22(upper)
-3.368262416,98.1,1.499999614,-1.468923923,-1.468924155,1.499999845
-3.300750803,100.89,1.450556427,-1.633612995,-1.575990284,1.392933716
-3.37358642,97.89,1.666468012,-1.291024649,-1.296740318,1.672183682
-3.367928637,98.12,1.568599554,-1.401179948,-1.400752197,1.568171803
-3.357542404,98.53,1.404361908,-1.584187737,-1.574374915,1.394549085
-3.310412275,100.48,1.707110787,-1.365092121,-1.313452667,1.655471333
-3.337231906,99.37,1.633414857,-1.389014766,-1.362261955,1.606662045
-3.407897109,96.53,1.840823481,-1.059028596,-1.093564557,1.875359443
-3.450945145,94.88,1.466713298,-1.360284537,-1.431247619,1.537676381
-3.306753386,100.64,1.645051535,-1.433959202,-1.378915833,1.590008167
-3.43628071,95.44,1.313980197,-1.533139509,-1.594041656,1.374882344
