NfL,log10(NfL),e127_25ngml,e127_50ngml,type
500000,5.698970004,11.808775,9.98674325,open
50000,4.698970004,10.954835,9.833784,open
10000,4,,12.1734465,open
5000,3.698970004,13.7778525,13.0111585,open
2000,3.301029996,,14.488466,filled
500,2.698970004,17.387409,16.464,open
400,2.602059991,,16.903264,filled
80,1.903089987,,19.422435,filled
50,1.698970004,20.845915,19.8281475,open
16,1.204119983,,21.739659,filled
5,0.698970004,24.282507,23.6243925,open
3.2,0.505149978,,24.195097,filled
0.64,-0.193820026,,26.6630305,filled
0.5,-0.301029996,27.518089,26.9677755,open
0.128,-0.89279003,,28.762166,filled
0.05,-1.301029996,30.582282,29.4207295,open
0.005,-2.301029996,29.1338805,30.3723145,open
0,,31.7026455,31.1471655,
